datetime,low,high,open,close,volumefrom,volumeto
2016-04-07,418.09,421.99,420.62,419.84,3093.89,1301132.34
2016-04-08,416.26,423.99,419.99,418.13,4501.64,1893915.56
2016-04-09,412.0,418.71,417.75,418.37,3578.63,1488490.68
2016-04-10,417.2,421.79,418.59,420.77,1735.02,728035.88
2016-04-11,418.0,422.8,420.4,422.08,3461.33,1455970.96
2016-04-12,421.0,426.67,422.79,425.91,6052.84,2569227.44
2016-04-13,422.27,426.0,425.32,423.26,3888.13,1648750.52
2016-04-14,420.57,425.35,423.6,424.51,3844.83,1629295.05
2016-04-15,423.07,430.0,424.4,429.25,4378.6,1871353.05
2016-04-16,427.12,432.87,429.29,430.68,1824.13,784282.5
2016-04-17,424.24,430.91,430.18,426.75,1482.15,633684.98
2016-04-18,425.8,430.01,427.15,428.07,3175.38,1357320.94
2016-04-19,426.24,436.82,428.14,435.25,3734.22,1606377.98
2016-04-20,433.11,444.0,435.7,441.25,7279.21,3192599.47
2016-04-21,440.0,452.11,441.99,451.0,5394.19,2405825.02
2016-04-22,442.96,451.36,451.0,447.8,5482.08,2452914.54
2016-04-23,444.46,452.18,447.16,451.31,2229.62,998886.31
2016-04-24,447.06,470.02,451.92,459.4,7012.4,3211111.55
2016-04-25,455.13,469.47,460.03,465.99,5508.19,2543834.74
2016-04-26,462.13,469.87,462.29,468.0,4611.27,2146442.6
2016-04-27,445.42,469.03,467.39,447.46,6747.73,3083587.06
2016-04-28,435.0,451.0,445.39,450.0,8725.35,3879872.31
2016-04-29,445.62,456.0,449.94,454.77,2924.98,1321180.97
2016-04-30,446.5,456.9,456.53,446.7,2413.28,1088703.36
2016-05-01,446.84,453.78,448.43,451.4,1180.66,532738.45
2016-05-02,438.59,453.8,452.99,443.54,6326.81,2808139.14
2016-05-03,440.78,452.0,444.06,451.7,5568.02,2492642.46
2016-05-04,444.15,451.68,451.18,446.3,3295.73,1473942.97
2016-05-05,445.11,450.0,447.36,448.82,2366.93,1059530.04
2016-05-06,447.03,463.97,448.5,459.73,5517.34,2508091.25
2016-05-07,455.95,461.0,458.98,458.15,1989.03,911630.56
2016-05-08,455.95,459.69,458.97,457.81,1294.05,591905.16
2016-05-09,455.62,464.79,457.75,461.63,3517.48,1617041.39
2016-05-10,447.38,463.0,461.49,449.91,5664.75,2571495.49
2016-05-11,450.32,457.99,450.88,452.01,3344.72,1517420.38
2016-05-12,448.88,455.09,452.95,454.92,3404.27,1538456.69
2016-05-13,452.04,456.82,455.2,456.04,2819.7,1282634.69
2016-05-14,453.51,457.25,456.42,455.38,1344.33,612807.08
2016-05-15,454.72,458.08,456.3,457.48,1599.7,730393.65
2016-05-16,451.11,458.0,457.56,455.56,3075.4,1401093.82
2016-05-17,452.14,456.09,454.0,453.01,3173.8,1439597.99
2016-05-18,452.01,455.68,452.96,452.94,2588.67,1175478.69
2016-05-19,441.05,453.85,452.47,441.63,5466.73,2450585.4
2016-05-20,435.06,444.41,436.3,441.97,3414.13,1505886.06
2016-05-21,435.28,443.98,442.84,442.84,1909.66,841576.8
2016-05-22,435.0,443.47,442.72,437.85,2294.47,1007976.18
2016-05-23,436.4,442.91,438.72,442.29,2555.94,1126274.52
2016-05-24,441.0,446.37,442.63,445.31,3053.33,1358027.73
2016-05-25,444.26,449.6,445.31,448.02,3655.41,1636079.83
2016-05-26,446.8,452.98,448.27,452.38,3763.09,1693500.51
2016-05-27,452.07,478.16,452.07,472.68,12121.62,5706733.77
2016-05-28,468.0,529.08,470.58,521.5,12464.98,6154346.32
2016-05-29,485.0,540.0,522.13,513.85,8124.92,4221703.64
2016-05-30,510.01,535.0,517.6,527.0,6063.14,3189532.46
2016-05-31,515.0,548.5,527.64,532.06,12006.15,6431063.42
2016-06-01,525.49,542.87,532.37,538.65,5388.62,2882083.0
2016-06-02,529.13,540.0,536.95,538.98,3910.44,2094443.58
2016-06-03,535.74,578.37,538.0,567.94,8718.77,4871569.53
2016-06-04,558.54,588.71,569.93,573.87,6187.45,3553068.65
2016-06-05,566.0,582.0,573.5,573.76,5341.22,3061431.32
2016-06-06,573.8,586.02,573.8,583.49,4420.07,2573089.92
2016-06-07,563.0,594.44,584.12,576.75,6660.02,3862682.24
2016-06-08,571.86,584.25,577.48,583.24,3252.98,1882161.28
2016-06-09,572.97,583.1,583.01,576.4,3758.43,2166774.29
2016-06-10,572.0,580.0,576.06,577.91,3457.49,1991840.12
2016-06-11,575.93,594.0,576.53,592.13,2766.37,1616911.88
2016-06-12,603.21,683.02,610.0,667.94,13876.2,8917259.7
2016-06-13,655.02,725.0,668.73,702.05,17251.66,11928392.51
2016-06-14,655.0,704.5,703.81,685.69,10609.09,7228993.7
2016-06-15,672.12,695.77,685.25,693.01,5752.51,3936205.99
2016-06-16,689.8,773.07,695.0,765.6,17747.96,13101113.07
2016-06-17,706.37,778.7,767.37,746.99,14631.57,10811253.75
2016-06-18,723.02,778.85,745.0,755.02,5827.87,4394175.96
2016-06-19,740.11,764.93,753.47,760.55,2611.71,1971087.94
2016-06-20,725.0,763.99,759.12,734.99,7836.92,5816127.61
2016-06-21,625.0,728.18,725.0,668.42,32747.0,22050470.24
2016-06-22,593.03,677.63,665.36,594.1,15620.53,9966791.88
2016-06-23,540.17,632.67,602.82,624.69,23795.95,13982861.16
2016-06-24,620.82,683.88,622.59,656.71,16058.17,10493009.71
2016-06-25,639.4,684.45,660.76,663.24,6559.01,4363898.7
2016-06-26,608.64,662.9,658.8,628.61,5277.84,3320432.14
2016-06-27,618.03,653.46,630.16,648.2,8482.24,5415184.25
2016-06-28,635.5,665.51,657.49,645.39,5462.68,3534625.42
2016-06-29,621.09,645.0,644.33,634.43,9088.42,5742183.05
2016-06-30,628.06,671.22,635.91,666.84,7428.6,4861694.15
2016-07-01,659.71,684.1,666.33,677.0,6421.13,4331285.23
2016-07-02,672.74,704.93,674.55,702.48,5431.82,3759346.11
2016-07-03,646.29,704.99,702.48,664.14,7213.63,4835674.84
2016-07-04,640.1,682.35,659.77,678.72,4180.06,2796115.29
2016-07-05,661.57,682.36,678.74,666.58,3100.26,2084268.82
2016-07-06,662.13,679.0,669.09,674.46,3541.03,2379339.84
2016-07-07,605.5,678.43,674.7,636.39,12646.13,8032742.44
2016-07-08,635.0,665.0,638.89,664.0,6483.61,4189449.95
2016-07-09,626.0,663.99,663.0,652.54,6111.73,3950333.46
2016-07-10,636.8,650.88,647.78,646.55,2272.95,1464107.64
2016-07-11,639.31,659.6,648.77,647.42,2973.44,1929797.21
2016-07-12,646.05,678.0,649.32,671.7,4145.96,2744860.85
2016-07-13,654.52,669.97,663.52,661.5,6367.45,4207227.67
2016-07-14,650.01,664.93,652.24,660.53,2379.09,1567824.55
2016-07-15,658.41,670.01,660.3,664.99,3209.21,2130837.14
2016-07-16,655.0,666.67,664.6,662.0,1640.0,1082955.17
2016-07-17,661.35,684.19,662.45,678.23,3409.25,2301127.43
2016-07-18,666.12,682.21,679.54,673.46,2993.77,2024992.39
2016-07-19,666.0,675.81,673.45,673.86,1855.39,1245111.37
2016-07-20,660.0,675.0,674.8,667.02,3402.67,2271618.27
2016-07-21,660.1,667.1,667.01,664.25,2486.28,1650112.49
2016-07-22,645.0,666.3,663.25,652.95,5031.9,3304025.08
2016-07-23,646.0,656.77,647.88,653.8,1274.47,831459.97
2016-07-24,651.99,665.0,655.52,659.51,1402.78,922962.62
2016-07-25,652.28,661.99,659.64,654.37,2429.95,1592779.48
2016-07-26,645.01,656.94,655.0,652.22,3378.47,2197810.59
2016-07-27,646.31,659.98,651.22,655.63,2623.74,1715044.8
2016-07-28,652.41,657.89,655.13,653.44,1880.26,1230981.99
2016-07-29,653.0,657.48,654.84,657.03,1290.14,844396.19
