datetime,low,high,open,close,volumefrom,volumeto
2017-11-09,317.29,331.7,322.15,321.32,13118.15,4270934.9
2017-11-10,291.0,325.61,321.32,298.66,34411.65,10580539.65
2017-11-11,298.0,322.19,298.66,315.76,23836.74,7328431.51
2017-11-12,300.11,318.98,315.76,306.1,48200.8,14854823.36
2017-11-13,305.91,320.69,306.1,316.14,36613.5,11517856.3
2017-11-14,314.95,340.99,315.81,335.54,48769.57,16066296.01
2017-11-15,323.19,340.0,335.54,331.88,27052.55,9039874.86
2017-11-16,321.0,335.16,331.88,329.91,34360.48,11257762.02
2017-11-17,325.0,334.86,329.91,331.25,24845.12,8208502.56
2017-11-18,326.3,349.31,331.25,346.96,26074.43,8763543.7
2017-11-19,344.01,372.0,346.96,354.48,32139.68,11451664.0
2017-11-20,350.0,372.88,354.48,366.0,28170.7,10193832.49
2017-11-21,345.52,372.94,366.0,359.6,51067.56,18500330.41
2017-11-22,358.33,383.94,359.6,380.88,34942.55,12961685.49
2017-11-23,370.11,426.04,380.88,406.75,77408.69,31247094.1
2017-11-24,395.0,478.99,406.75,471.17,84954.03,36850995.89
2017-11-25,451.0,483.0,471.17,463.0,31084.17,14484869.28
2017-11-26,438.09,472.76,463.0,467.0,29143.14,13208221.61
2017-11-27,456.24,487.0,467.0,474.67,53900.59,25539860.51
2017-11-28,457.61,478.15,474.67,464.95,49678.07,23218695.7
2017-11-29,405.0,519.23,464.95,423.9,116769.92,54776310.04
2017-11-30,388.0,455.99,423.9,435.09,59144.71,24829664.37
2017-12-01,415.16,469.4,435.09,460.3,30626.87,13628268.39
2017-12-02,447.0,472.32,460.3,456.04,23203.04,10679948.95
2017-12-03,441.02,482.8,456.04,463.0,33041.92,15385296.14
2017-12-04,446.2,473.9,463.0,467.83,31067.36,14339920.11
2017-12-05,450.49,471.9,467.83,455.76,22812.03,10475929.75
2017-12-06,405.88,459.85,455.76,415.83,50979.87,22125584.99
2017-12-07,400.0,436.42,415.83,411.03,48889.8,20297020.09
2017-12-08,391.0,454.85,411.03,440.27,58296.63,25139946.87
2017-12-09,433.0,497.99,440.27,456.38,48252.92,22439454.27
2017-12-10,401.33,459.44,456.38,425.07,29510.03,12703843.48
2017-12-11,421.17,505.0,425.07,503.47,44543.45,20712267.88
2017-12-12,487.0,645.55,503.47,620.59,95283.01,53634930.74
2017-12-13,585.0,742.23,620.59,694.5,127713.17,85319760.43
2017-12-14,647.5,745.0,694.5,689.69,89396.17,62301015.17
2017-12-15,601.13,692.5,689.69,676.36,54771.22,36087695.59
2017-12-16,665.5,711.77,676.36,684.0,23905.72,16434500.56
2017-12-17,683.06,726.0,684.0,706.91,27771.42,19664123.78
2017-12-18,671.56,800.39,706.91,787.28,57460.08,42506114.15
2017-12-19,772.91,870.0,787.28,817.72,87098.13,71504353.38
2017-12-20,721.02,833.67,817.72,797.1,81483.02,64005220.28
2017-12-21,752.0,842.73,797.1,783.8,75451.39,60484270.34
2017-12-22,501.0,792.5,783.8,669.36,164428.2,104608927.33
2017-12-23,649.57,755.0,669.36,699.86,40879.14,29124563.94
2017-12-24,604.19,704.93,699.86,686.96,45120.39,29335293.78
2017-12-25,684.0,750.0,686.96,724.0,42706.02,30624272.73
2017-12-26,716.7,765.0,724.0,751.09,24164.54,17964660.22
2017-12-27,704.54,770.0,751.09,738.78,53760.85,39840501.45
2017-12-28,666.0,739.8,738.78,717.23,40099.34,28006548.75
2017-12-29,709.0,758.0,717.23,732.67,44816.84,32932640.32
2017-12-30,659.06,740.72,732.67,698.46,59596.87,41619597.01
2017-12-31,687.03,759.08,698.46,743.48,24771.96,17864222.87
2018-01-01,722.02,768.87,743.48,752.78,29181.94,21811639.35
2018-01-02,752.78,888.0,752.78,858.6,67628.49,57231450.99
2018-01-03,850.0,950.0,858.6,940.4,57117.21,50614980.68
2018-01-04,895.52,999.91,940.4,940.0,77160.74,73312586.84
2018-01-05,924.69,1022.0,940.0,966.0,52023.54,50807581.42
2018-01-06,950.01,1009.22,966.0,1004.27,29967.36,29708300.53
2018-01-07,1000.0,1118.72,1004.27,1117.96,47293.11,50605502.35
2018-01-08,964.0,1229.76,1117.96,1130.0,109477.59,123173201.93
2018-01-09,1115.0,1301.0,1130.0,1287.47,102885.38,123662002.07
2018-01-10,1187.96,1378.99,1287.47,1240.48,96347.51,125834355.1
2018-01-11,1100.0,1334.33,1240.48,1135.0,95639.75,114736730.72
2018-01-12,1080.59,1288.34,1135.0,1258.68,46451.21,56579737.77
2018-01-13,1256.0,1420.0,1258.68,1384.78,41803.41,56577725.3
2018-01-14,1265.0,1389.0,1384.78,1359.59,35328.24,46817527.9
2018-01-15,1269.0,1379.0,1359.59,1276.71,33997.65,44691560.27
2018-01-16,862.11,1281.16,1276.71,1057.88,127923.05,136634452.92
2018-01-17,761.61,1109.58,1057.88,1029.22,179200.0,162181963.93
2018-01-18,951.12,1105.0,1029.22,1024.69,96056.34,99181551.38
2018-01-19,995.01,1095.0,1024.69,1036.03,49838.57,51792512.24
2018-01-20,1036.03,1171.0,1036.03,1150.0,31922.41,35856520.99
2018-01-21,1008.0,1151.0,1150.0,1049.09,37050.56,39711684.02
2018-01-22,917.0,1092.0,1049.09,997.21,48389.73,48078073.65
2018-01-23,905.0,1024.98,997.21,983.7,61938.03,60151552.29
2018-01-24,957.69,1069.65,983.7,1065.0,44493.76,45222578.83
2018-01-25,1014.48,1105.0,1065.0,1050.0,62196.24,65357176.23
2018-01-26,984.0,1075.9,1050.0,1051.81,39359.62,40473858.68
2018-01-27,1034.45,1126.01,1051.81,1115.51,29317.95,31570026.1
2018-01-28,1099.76,1240.0,1115.51,1229.41,29175.42,34733431.76
2018-01-29,1141.0,1239.0,1229.41,1168.0,40475.91,47712758.1
